id,source_url,bathrooms,bedrooms,price,squarefeet,payment,down_percent
3092,https://www.redfin.com/WA/Seattle/2502-W-Plymouth-St-98199/home/124931,1.5,3,650000,3190,2912,6.15
3456,https://www.redfin.com/WA/Seattle/6203-46th-Ave-S-98118/home/492748,1.0,2,345000,1830,1456,11.59
3307,https://www.redfin.com/WA/Seattle/9606-40th-Ave-S-98118/home/480574,1.0,3,330000,2180,1385,12.12
3811,https://www.redfin.com/WA/Seattle/4808-S-Othello-St-98118/home/173432,2.0,5,550000,2900,2435,7.27
3965,https://www.redfin.com/WA/Seattle/645-SW-127th-St-98146/home/180774,1.5,3,435000,2500,1886,9.2
2946,https://www.redfin.com/WA/Seattle/151-SW-100th-St-98146/home/180987,2.0,5,599000,3100,2669,6.68
2733,https://www.redfin.com/WA/Seattle/151-SW-100th-St-98146/home/180987,2.0,5,599000,3100,2669,6.68
3470,https://www.redfin.com/WA/Seattle/8651-34th-Ave-SW-98126/home/473249,1.75,4,469000,2640,2048,8.53
2675,https://www.redfin.com/WA/Seattle/4827-12th-Ave-S-98108/unit-A-B/home/141499112,2.75,6,599500,3160,2671,6.67
3261,https://www.redfin.com/WA/Seattle/10804-Rowan-Rd-S-98178/home/197659,2.25,4,680000,3380,3055,5.88
3056,https://www.redfin.com/WA/Seattle/10714-12th-Ave-SW-98146/home/181633,1.75,4,390000,2443,1671,10.26
2905,https://www.redfin.com/WA/Seattle/12047-36th-Ave-NE-98125/unit-D/home/112190,3.25,4,688000,3350,3094,5.81
2742,https://www.redfin.com/WA/Seattle/5473-25th-Ave-S-98108/home/478859,2.25,4,565000,3060,2506,7.08
3979,https://www.redfin.com/WA/Seattle/6449-S-120th-St-98178/home/195381,4.0,5,689000,3370,3098,5.81
2628,https://www.redfin.com/WA/Seattle/8005-S-117th-St-98178/home/197184,1.5,4,589000,3180,2621,6.79
3133,https://www.redfin.com/WA/Seattle/6015-S-Prentice-St-98178/home/178252,2.25,4,539950,3000,2387,7.41
3322,https://www.redfin.com/WA/Seattle/5436-21st-Ave-SW-98106/home/161214,2.75,5,469950,2750,2053,8.51
3280,https://www.redfin.com/WA/Seattle/4214-S-Graham-St-98118/home/173845,4.0,7,675000,3510,3032,5.93
2614,https://www.redfin.com/WA/Seattle/8202-S-130th-St-98178/home/197367,3.25,6,499950,2920,2196,8.0
3421,https://www.redfin.com/WA/Seattle/5134-S-Fountain-St-98178/home/178282,3.5,7,580000,3360,2578,6.9
2782,https://www.redfin.com/WA/Seattle/5653-S-Avon-St-98178/home/178981,2.5,4,650000,3700,2912,6.15
2493,https://www.redfin.com/WA/Seattle/11233-21st-Ave-SW-98146/home/179133,1.75,3,499975,3320,2196,8.0
3431,https://www.redfin.com/WA/Seattle/4219-S-Brandon-St-98118/home/173516,3.0,6,400000,3320,1719,10.0
3349,https://www.redfin.com/WA/Seattle/4219-S-Brandon-St-98118/home/173516,3.0,6,400000,3320,1719,10.0
3393,https://www.redfin.com/WA/Seattle/7731-14th-Ave-SW-98106/home/475734,3.0,6,699000,4310,3146,5.72
3756,https://www.redfin.com/WA/Seattle/6937-S-Rustic-Rd-98178/home/197974,2.75,4,629950,4450,2817,6.35
