id,source_url,bathrooms,bedrooms,price,squarefeet,mls_id
"3897","https://www.redfin.com/WA/Seattle/9746-46th-Ave-NE-98115/home/113600","1.00","2","619000","870","1177982"
"3896","https://www.redfin.com/WA/Seattle/6831-37th-Ave-NE-98115/home/315312","1.00","3","650000","1010","1166398"
"3895","https://www.redfin.com/WA/Seattle/803-S-Orcas-St-98108/home/106723976","1.75","3","610000","1340","1175951"
"3894","https://www.redfin.com/WA/Seattle/938-N-96th-St-98103/unit-LOT/home/39904232","2.25","3","680000","1650","1180096"
"3893","https://www.redfin.com/WA/Seattle/11722-3rd-Ave-NW-98177/home/96254","1.75","3","810000","2720","1179738"
"3892","https://www.redfin.com/WA/Seattle/221-N-137th-St-98133/home/97224","3.50","5","1100000","3471","1179261"
"3891","https://www.redfin.com/WA/Seattle/12832-Ashworth-Ave-N-98133/home/104021","2.00","4","535000","1740","1177988"
"3890","https://www.redfin.com/WA/Seattle/10011-Wallingford-Ave-N-98133/home/104561","4.25","10","870200","3600","1180038"
"3889","https://www.redfin.com/WA/Seattle/11214-Greenwood-Ave-N-98133/unit-A/home/12296553","2.50","3","529900","1535","1179918"
"3888","https://www.redfin.com/WA/Seattle/6318-34th-Ave-SW-98126/unit-A/home/22441235","2.50","3","399950","1040","1178362"
"3887","https://www.redfin.com/WA/Seattle/3410-37th-Ave-SW-98126/home/329001","1.00","2","460000","730","1179904"
"3886","https://www.redfin.com/WA/Seattle/10720-14th-Ave-NE-98125/home/107340","1.00","2","339900","660","1179349"
"3885","https://www.redfin.com/WA/Seattle/4431-41st-Ave-SW-98116/unit-B/home/12304087","2.25","3","550000","1290","1176924"
"3884","https://www.redfin.com/WA/Seattle/4136-52nd-Ave-SW-98116/home/151297","3.00","4","968000","2790","1167233"
"3883","https://www.redfin.com/WA/Seattle/3040-NE-86th-St-98115/home/315280","1.00","2","575000","940","1172615"
"3882","https://www.redfin.com/WA/Seattle/8011-Roosevelt-Way-NE-98115/home/108332","2.00","3","735000","2100","1178870"
"3881","https://www.redfin.com/WA/Seattle/815-15th-Ave-E-98112/home/2080846","8.00","9","1799000","4065","1179935"
"3880","https://www.redfin.com/WA/Seattle/354-NW-Market-St-98107/home/12304281","2.00","3","649999","1540","1179642"
"3879","https://www.redfin.com/WA/Seattle/8420-25th-Ave-SW-98106/unit-D/home/68652","1.50","2","320000","1014","1178412"
"3878","https://www.redfin.com/WA/Seattle/3920-1st-Ave-NE-98105/unit-E/home/142943992","2.50","2","849950","1269","1179999"
"3877","https://www.redfin.com/WA/Seattle/707-Martin-Luther-King-Junior-Way-S-98144/home/145531","1.00","2","389900","1102","1170905"
"3876","https://www.redfin.com/WA/Seattle/305-27th-Ave-S-98144/home/144741","1.00","2","399900","1000","1175598"
"3875","https://www.redfin.com/WA/Seattle/3765-SW-Olga-St-98126/home/327776","2.50","5","949950","2969","1177976"
"3874","https://www.redfin.com/WA/Seattle/2815-11th-Ave-W-98119/home/129143","1.00","3","695000","1820","1173787"
"3873","https://www.redfin.com/WA/Seattle/7010-55th-Ave-S-98118/home/489237","1.50","3","800000","2490","1177979"
"3872","https://www.redfin.com/WA/Seattle/4109-45th-Ave-SW-98116/home/331009","3.00","5","924950","3750","1179314"
"3871","https://www.redfin.com/WA/Seattle/2211-E-Calhoun-St-98112/home/138150","1.00","3","799950","2060","1178637"
"3870","https://www.redfin.com/WA/Seattle/3619-Interlake-Ave-N-98103/home/65827808","2.25","3","835000","1601","1177857"
"3869","https://www.redfin.com/WA/Seattle/4440-29th-Ave-W-98199/home/123272","3.00","3","850000","2820","1171740"
"3868","https://www.redfin.com/WA/Seattle/3903-W-Barrett-St-98199/home/126052","2.50","4","1499000","3090","1178976"
"3867","https://www.redfin.com/WA/Seattle/3451-21st-Ave-W-98199/home/22808356","2.50","3","629900","1500","1178729"
"3866","https://www.redfin.com/WA/Seattle/11821-78th-Ave-S-98178/home/199625","2.75","3","450000","2220","1178151"
"3865","https://www.redfin.com/WA/Seattle/141-NW-136th-St-98177/home/95951","1.75","2","649950","1740","1178891"
"3864","https://www.redfin.com/WA/Seattle/10810-25th-Ave-SW-98146/home/180387","1.75","4","489500","1640","1179016"
"3863","https://www.redfin.com/WA/Seattle/12429-1st-Ave-SW-98146/home/183168","1.50","2","275000","870","1179270"
"3862","https://www.redfin.com/WA/Seattle/304-25th-Ave-S-98144/home/143898","3.00","5","799950","2775","1179423"
"3861","https://www.redfin.com/WA/Seattle/945-N-104th-St-98133/home/98837","2.00","4","549000","1950","1179082"
"3860","https://www.redfin.com/WA/Seattle/11014-Greenwood-Ave-N-98133/unit-B/home/18658347","3.25","3","549000","1460","1179157"
"3859","https://www.redfin.com/WA/Seattle/11213-Greenwood-Ave-N-98133/unit-A/home/97260","2.25","3","550000","1340","1163886"
"3858","https://www.redfin.com/WA/Seattle/11345-25th-Ave-NE-98125/home/116711","2.25","3","638000","1710","1178607"
"3857","https://www.redfin.com/WA/Seattle/917-NE-117th-St-98125/home/106403","1.00","3","465000","1310","1178768"
"3856","https://www.redfin.com/WA/Seattle/11706-26th-Ave-NE-98125/home/117035","1.75","4","600000","1250","1170864"
"3855","https://www.redfin.com/WA/Seattle/2207-E-Olive-St-98122/home/144303","2.00","2","699000","1350","1179013"
"3854","https://www.redfin.com/WA/Seattle/1615-E-Marion-St-98122/home/142975","2.25","3","850000","1759","1171659"
"3853","https://www.redfin.com/WA/Seattle/400-W-McGraw-Pl-98119/home/131280","2.75","2","900000","1660","1178472"
"3852","https://www.redfin.com/WA/Seattle/6717-35th-Pl-S-98118/home/478680","2.50","3","469000","1908","1179151"
"3851","https://www.redfin.com/WA/Seattle/8318-18th-Ave-NW-98117/home/166385","1.50","2","624950","1370","1171927"
"3850","https://www.redfin.com/WA/Seattle/6710-23rd-Ave-NW-98117/home/166146","2.00","3","675000","1320","1177215"
"3849","https://www.redfin.com/WA/Seattle/6712-22nd-Ave-NW-98117/home/165570","1.75","3","715000","1530","1179418"
"3848","https://www.redfin.com/WA/Seattle/7006-37th-Ave-NE-98115/home/317933","2.00","3","695000","1640","1176459"
